n,mse,mse.m,mse.a,theta.mse
1024,0.1876284754199449,0.19074040306211903,0.19104591323158893,1.824619050629063e-5
1024,0.17340354707380537,0.19539722101484197,0.19541920007220528,1.8932357213251015e-5
1024,0.17519756636583778,0.16455530729151274,0.16467230026247173,1.8605391719567498e-5
1024,0.218679839028454,0.2277188223027391,0.2279238493371051,3.294130514506753e-5
1024,0.2512791134137903,0.241405329738936,0.24125089905387756,3.1827138982643894e-5
1024,0.2656751177013661,0.27043483262290535,0.2699470668182045,2.2162020886619486e-5
1024,0.23995029750340752,0.2594195826704572,0.2621733385954971,2.5294032716631384e-5
1024,0.4080749671101084,0.3980529322998214,0.3986101541278843,2.050417778945362e-5
1024,0.15778079849269086,0.15555881914324207,0.15550005565422073,1.207830825905757e-5
1024,0.2256187695687844,0.2293602429033231,0.22953401959913025,1.765023813920201e-5
1024,0.2619133713098386,0.2542075691269025,0.2537437263692059,1.4319551252352611e-5
1024,0.26589219013716275,0.2414127883828116,0.24177508951233057,2.000431394764862e-5
1024,0.312743058886318,0.30894228269708957,0.30849003260768776,2.812350487116747e-5
1024,0.20725741830324623,0.2132150086205731,0.21323232743189255,2.3095966779894108e-5
1024,0.16709108673466458,0.16016503986147732,0.16028976862635574,1.9517835128323578e-5
1024,0.19743159270857885,0.2024701944206399,0.20216667755873352,2.6927165975644752e-5
1024,0.2750232096395371,0.2707682320008453,0.2709905154335205,3.2989284605933e-5
1024,0.21111650008626068,0.20701583402749285,0.2065372315423339,3.8084815242104025e-5
1024,0.270686750443012,0.2683835936581497,0.2680462592368062,2.1025287928292888e-5
1024,0.24180868830348048,0.24655233239127325,0.2468049827671494,1.6741463245523282e-5
1024,0.305209844256183,0.2737312536735777,0.2724236799605154,1.2005085936258056e-5
1024,0.4891000927230824,0.4550027264166314,0.4550194588581959,9.45612466347708e-6
1024,0.35187594865056804,0.4403597201542259,0.43452612983908406,1.5215390233874622e-5
1024,0.44955653957165376,0.4362328789922448,0.4369904080873489,1.3598895402095264e-5
1024,0.3084514358289619,0.3121916295947096,0.3116112526033837,2.6738392579259933e-5
1024,0.2275249646527625,0.2556579922353066,0.2581439883316803,1.917130476647532e-5
1024,0.23898472922757497,0.23572792615767124,0.23625407264056647,2.7025075401192596e-5
1024,0.3761033883583476,0.3937963198174709,0.3944680250969057,5.0146947230015965e-5
1024,0.2695709679578268,0.3031267453082882,0.30161743746165276,3.7177247491196326e-5
1024,0.2535867347919906,0.25782896298471786,0.2580566732102927,3.263477933714267e-5
1024,0.28701409248904985,0.30614605566629527,0.3065492077152334,2.122554417218631e-5
1024,0.17194695948251626,0.17923070332880045,0.17991443958419662,3.1084564649602664e-5
1024,0.1460967908791885,0.1501304807687151,0.1506974118544868,4.6844858666177624e-5
1024,0.1554177195448674,0.1682629568686931,0.1690089365629955,2.473901816995091e-5
1024,0.20462278410206128,0.1987771694611148,0.19888228478180625,1.782941015986493e-5
1024,0.2577649041782386,0.2678369192096871,0.2680605955898307,3.064089659275235e-5
1024,0.3960882321818978,0.4050310772948545,0.40440759820599453,2.460217031519068e-5
1024,0.24860968902783373,0.2588500375656303,0.2601810482629416,1.9210765222277996e-5
1024,0.206900123971852,0.2226084687325625,0.22336509291593443,1.3728500524562469e-5
1024,0.25964599955353806,0.2677644083393057,0.26794980995241213,2.0159201583158035e-5
1024,0.2139694683893411,0.2294271937503706,0.22894620560799625,2.2573374615852955e-5
1024,0.2682970378702344,0.275084036314818,0.2755471165758683,1.3653293375284255e-5
1024,0.35323581504030105,0.3237674797401011,0.3230351234013988,3.432524541095939e-5
1024,0.2285577155959498,0.2425720178285471,0.24284122604876093,2.7361004372789204e-5
1024,0.22074674334334865,0.23014338444306687,0.23024458976238835,1.9615176740617893e-5
1024,0.34562316099387075,0.3700399121503408,0.3704924553034341,4.213878259650252e-5
1024,0.26960851694307325,0.2712388829438098,0.2727032304542113,1.3286697893812782e-5
1024,0.2928346291737911,0.30522502526211154,0.3042720017745927,3.4154857093444136e-5
1024,0.33957424438981054,0.3570501980804154,0.35774186712719,3.653510087106533e-5
1024,0.18827693267110432,0.20841153385249467,0.20858630998746192,2.9030312715650045e-5
512,0.2924833557613494,0.2557717664558166,0.25506814469778144,1.663126421944234e-4
512,0.3154525747273425,0.2861563818682859,0.2858789099744014,2.0713176294963025e-4
512,0.2345979479261722,0.2198502761215821,0.2209453342513549,2.7951630812916454e-4
512,0.40524857808600906,0.40470164497362,0.4045888085558296,3.3806241339500977e-4
512,0.2495861604433096,0.25122047707387246,0.2519098927571484,9.977921999141444e-4
512,0.2251828648395272,0.24221077518349357,0.2420583429200116,0.0010813868959206
512,0.3030446096560295,0.3156986601552689,0.3163474480349433,3.860902836884179e-4
512,0.2311348505147657,0.2436821182918906,0.2438427934590528,4.1729893887857767e-4
512,0.18097806716418555,0.1728636805700599,0.17212572624291173,1.7200216969307148e-4
512,0.1675840410987477,0.179517136083355,0.1803904073169491,1.0546227333257032e-4
512,0.1788733490426848,0.17961810197580602,0.18028339719635297,1.3710069262380737e-4
512,0.23145629018486305,0.22961138904320483,0.23225695045836164,4.2700647158458086e-4
512,0.28988721362192915,0.30304313575199804,0.3028253631900508,3.003298973424807e-4
512,0.19546980390202215,0.17780904682759374,0.17874608218924967,5.926831778387314e-4
512,0.30274555279019844,0.339544497626061,0.3380003662343504,2.7853180176760234e-4
512,0.38067955823178273,0.3778153013014748,0.37637727199088783,5.376926265533308e-4
512,0.38452740504545224,0.41046014405009046,0.4103800266804153,4.133883712276914e-4
512,0.25851052239607947,0.2458850716569501,0.2458745139967597,4.304490733195766e-4
512,0.4025594471514488,0.39621771067552247,0.3964572683201152,2.7895400637959454e-4
512,0.31229843411143676,0.30956957538237345,0.3106277258532822,6.328300691136979e-5
512,0.19276100426520165,0.21578367483792052,0.21611168430803135,1.5043595160100137e-4
512,0.2236531367280668,0.2143509258954839,0.21531510564079231,1.576030448035859e-4
512,0.3320483300034085,0.31245630290665943,0.31202934007032795,1.472965783398542e-4
512,0.2682797957347807,0.2565333854215616,0.2550944939247683,1.2499427031096468e-4
512,0.2141373055985666,0.19198479353785752,0.19434699889310153,3.412979049047074e-4
512,0.2572424105954856,0.23605260916287185,0.23701153110671985,5.715152005953307e-4
512,0.2477583218749601,0.22231648502553736,0.22453062979356556,5.574728568720005e-4
512,0.22974905637689697,0.25665444991575487,0.257996974315812,2.259695326509176e-4
512,0.229045799229557,0.22366826657170616,0.2232691127264721,1.3619849880531164e-4
512,0.28628471201676386,0.2635980827413044,0.2590601571354274,4.43038435837571e-4
512,0.3228145247003464,0.327181626465159,0.32730810226584167,8.541496984314153e-5
512,0.3576896784485901,0.37252832394125424,0.3686125404491949,2.4638991304876346e-4
512,0.2247815634714494,0.22895342875705388,0.22808707884421253,2.639228495738657e-4
512,0.2577037858638756,0.27627252752354603,0.2768999822819495,4.816975299347786e-4
512,0.43529452116242634,0.4518651372780952,0.4519424251405066,2.2581661288225907e-4
512,0.3568977969017504,0.3642025307602624,0.3633615745615776,4.975868005332428e-4
512,0.19717775174081745,0.18735680559718407,0.18705959733321825,8.032651170690897e-5
512,0.24227811776938885,0.28640169934375326,0.290989771329546,1.2589290744967097e-4
512,0.24461561002046345,0.26993297125033344,0.2707851158527178,2.1598340131136673e-4
512,0.1941290036256948,0.24904779696963564,0.2488554075950662,0.00114212905990284
512,0.21857497558921457,0.23027877094588103,0.2304272525842301,6.367994259402253e-4
512,0.16156747705789457,0.1695910343862521,0.17093050595716922,1.617633179134668e-4
512,0.17107073012624002,0.16962757592505104,0.16962059151548667,1.680287632960751e-4
512,0.3014284793910972,0.29000573237028,0.29003693778976825,3.607254222829145e-4
512,0.36206075363592327,0.3660779791867724,0.3671240017100861,1.8851198781599923e-4
512,0.25911207481106974,0.24753832259547545,0.2475019710553637,2.618203481552074e-4
512,0.23453008471785147,0.25326858794284607,0.2539829371921527,8.221770207785883e-4
512,0.14848410853112334,0.1411042528421932,0.14140724915128983,6.979831927822741e-4
512,0.221721244083528,0.22331638744193016,0.22161037644382045,1.3517789658536316e-4
512,0.2557821352601226,0.24133008237734824,0.2404666942643901,1.9678402826105596e-4
256,0.38209847546107417,0.3830947600879593,0.3795956363987136,0.0035429128423739367
256,0.2156714332471837,0.1978482023113222,0.20035838220577767,0.007367397884804954
256,0.17497065765303432,0.1868987952815471,0.18647835920043979,0.011702013232162134
256,0.21755326766907485,0.21360585386722872,0.21559707015005333,0.008021953509035151
256,0.2554922882722334,0.23770960974074123,0.24045771256678364,0.006316160585358119
256,0.19617299619121376,0.18740870061393564,0.1884715487635809,0.002220032588274118
256,0.18104041003271254,0.2053095953747503,0.20955534943158,0.004019957169831906
256,0.24392992260560287,0.26190426769460917,0.2648201258558646,0.004909720666349463
256,0.32404849439698896,0.35743812094669425,0.3590856302767889,0.013189143415469567
256,0.32897400493393825,0.29357016766147215,0.29058663198075,0.011066961449078885
256,0.33902530177355933,0.35455562864787843,0.3567001252056098,0.005730578731815874
256,0.32901786852564474,0.3585457694661511,0.35797439570732237,0.006954960307972569
256,0.22724591364102373,0.21026424585186926,0.2097803946733972,0.002459801272786161
256,0.18760383138494327,0.17942666576792052,0.17898753067294412,0.0019508327637015222
256,0.2132836362230164,0.21267329777448915,0.20470942410565873,0.0074905946870086676
256,0.2986311318898466,0.2622207378996106,0.27291722779045013,0.003549667679504218
256,0.20925527109147835,0.2437320117019182,0.24148781562863575,9.873227116941193e-4
256,0.2729774107203749,0.326539376248703,0.3241394293141904,0.010049422055084216
256,0.30272134662683386,0.3021341239677576,0.3023871678876561,0.017121313125807544
256,0.37702946877882354,0.382310457498549,0.37753887297380845,0.0037466967863033713
256,0.22191080089964144,0.24203409516423374,0.244758050048328,0.003935543599299808
256,0.33935020509819025,0.27288434573008546,0.2814233075753452,0.00447043816952522
256,0.14642286115589462,0.1628811912346132,0.16351443561751178,0.009950400062382549
256,0.19881104591268722,0.20182823097202313,0.20192038268564583,0.012350079111815493
256,0.19779336979900408,0.21506784103192983,0.21385692836528583,5.682128908817458e-4
256,0.2848133823441922,0.29293046592415845,0.2929984023985004,0.0054036123172640374
