n,acc.mslm,acc.stats
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
2048,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
1024,1,1
512,1,1
512,1,1
512,0.96875,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,0.96875,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,1,1
512,0.96875,1
512,1,1
512,1,1
512,1,1
512,1,1
256,1,1
256,1,1
256,1,1
256,0.9375,1
256,1,1
256,1,1
256,1,1
256,0.9375,1
256,1,1
256,1,1
256,0.96875,1
256,1,1
256,1,1
256,1,1
256,1,1
256,1,1
256,1,1
256,0.96875,0.96875
256,1,1
256,0.9375,1
256,1,1
256,1,1
256,0.90625,1
256,1,1
256,0.96875,1
256,1,1
256,1,1
256,1,1
256,1,1
256,0.96875,1
256,1,1
256,1,1
256,1,1
256,1,1
256,1,1
256,0.9375,1
256,0.96875,1
256,1,1
256,1,1
256,1,1
256,0.96875,1
256,1,1
256,0.96875,0.96875
256,1,1
256,1,1
256,1,1
256,1,1
256,0.96875,1
256,0.96875,1
256,1,1
